status_account,month_duration,credit_history,purpose,credit_amount,status_savings,years_employment,payment_to_income_ratio,gender,n_guarantors,residence_since,collateral,age,other_installment_plans,housing,n_credits,job,martial Status,telephone,is_foreign_worker,secondary_obligor,actual,predicted,prob_bad,correct
no checking account,6,existing credits paid back duly till now,car (new),672,< 100 DM,unemployed,1,female,1,4,none,54,none,own,1,unemployed/ unskilled - non-resident,divorced/separated/married,"yes, registered under the customers name",yes,none,good,good,7.998229093563094,YES
no checking account,48,existing credits paid back duly till now,business,3914,unknown/ no savings account,1 to < 4 years,4,male,1,2,none,38,bank,own,1,skilled employee/ official,divorced/separated,none,yes,none,bad,bad,65.49531131752816,YES
no checking account,18,critical account/ other credits existing (not at this bank),car (used),3850,< 100 DM,4 to < 7 years,3,male,1,1,real estate,27,none,own,2,skilled employee/ official,single,none,yes,none,good,good,7.839083415070762,YES
0 to < 200 DM,24,delay in paying off in the past,radio/television,1553,100 to < 500 DM,4 to < 7 years,3,female,1,2,car,23,none,rent,2,skilled employee/ official,divorced/separated/married,"yes, registered under the customers name",yes,none,good,good,25.374513741578923,YES
>= 200 DM,10,existing credits paid back duly till now,car (new),1240,100 to < 500 DM,>= 7 years,1,female,2,4,savings agreement/life insurance,48,none,for free,1,unskilled - resident,divorced/separated/married,none,yes,none,bad,bad,65.50459164027406,YES
< 0 DM,48,existing credits paid back duly till now,radio/television,6758,< 100 DM,1 to < 4 years,3,female,1,2,real estate,31,none,own,1,skilled employee/ official,divorced/separated/married,"yes, registered under the customers name",yes,none,bad,bad,80.61436005563586,YES
no checking account,6,existing credits paid back duly till now,furniture/equipment,4611,< 100 DM,< 1 year,1,female,1,4,car,32,none,own,1,skilled employee/ official,divorced/separated/married,none,yes,none,bad,bad,59.621411479749455,YES
no checking account,12,existing credits paid back duly till now,car (new),2390,unknown/ no savings account,>= 7 years,4,male,1,3,real estate,50,none,own,1,skilled employee/ official,single,"yes, registered under the customers name",yes,none,good,good,6.733396325587418,YES
0 to < 200 DM,9,existing credits paid back duly till now,business,1391,< 100 DM,1 to < 4 years,2,male,1,1,none,27,bank,own,1,skilled employee/ official,married/widowed,"yes, registered under the customers name",yes,none,good,bad,40.33405793514287,NO
< 0 DM,24,all credits at this bank paid back duly,furniture/equipment,2483,500 to < 1000 DM,1 to < 4 years,4,male,1,4,none,22,stores,own,1,skilled employee/ official,single,"yes, registered under the customers name",yes,none,good,good,19.837959502063313,YES
< 0 DM,24,critical account/ other credits existing (not at this bank),car (used),2957,< 100 DM,>= 7 years,4,male,1,4,car,63,none,own,2,skilled employee/ official,single,"yes, registered under the customers name",yes,none,good,good,12.76327950010773,YES
0 to < 200 DM,7,existing credits paid back duly till now,radio/television,2329,< 100 DM,< 1 year,1,female,1,1,none,45,none,own,1,skilled employee/ official,divorced/separated/married,none,yes,guarantor,good,good,13.819519661744609,YES
no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1459,< 100 DM,1 to < 4 years,4,female,1,2,real estate,43,none,own,1,unskilled - resident,divorced/separated/married,none,yes,none,good,good,14.07295007598349,YES
no checking account,60,existing credits paid back duly till now,car (new),10366,< 100 DM,>= 7 years,2,male,1,4,car,42,none,own,1,management/ self-employed/highly qualified employee,single,"yes, registered under the customers name",yes,none,good,good,14.066424579466755,YES
< 0 DM,24,existing credits paid back duly till now,furniture/equipment,4169,< 100 DM,1 to < 4 years,4,male,1,4,car,28,none,own,1,skilled employee/ official,single,none,yes,none,good,bad,50.0,NO
no checking account,12,existing credits paid back duly till now,business,1076,< 100 DM,1 to < 4 years,2,male,1,2,none,26,none,own,1,skilled employee/ official,married/widowed,"yes, registered under the customers name",no,none,good,good,8.674774985823893,YES
< 0 DM,48,existing credits paid back duly till now,car (used),10297,< 100 DM,4 to < 7 years,4,male,2,4,savings agreement/life insurance,39,stores,for free,3,skilled employee/ official,single,"yes, registered under the customers name",yes,none,bad,bad,65.50682322701307,YES
< 0 DM,12,critical account/ other credits existing (not at this bank),furniture/equipment,2246,< 100 DM,>= 7 years,3,male,1,3,car,60,none,own,2,skilled employee/ official,single,none,yes,none,bad,good,15.354667962246364,NO
no checking account,15,existing credits paid back duly till now,domestic appliances,1262,500 to < 1000 DM,4 to < 7 years,4,male,1,3,car,36,none,own,2,skilled employee/ official,single,"yes, registered under the customers name",yes,none,good,good,10.038596521686346,YES
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,1851,< 100 DM,4 to < 7 years,4,male,1,2,real estate,33,none,own,2,skilled employee/ official,married/widowed,"yes, registered under the customers name",yes,guarantor,good,good,13.21749944714947,YES
< 0 DM,6,existing credits paid back duly till now,furniture/equipment,1374,< 100 DM,1 to < 4 years,1,male,1,2,none,36,bank,own,1,unskilled - resident,single,"yes, registered under the customers name",yes,none,good,good,27.268608460439847,YES
0 to < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),958,< 100 DM,4 to < 7 years,2,male,2,3,none,47,none,own,2,unskilled - resident,single,none,yes,none,good,good,9.469590838380588,YES
no checking account,24,critical account/ other credits existing (not at this bank),others,6314,< 100 DM,unemployed,4,male,1,2,savings agreement/life insurance,27,bank,own,2,management/ self-employed/highly qualified employee,single,"yes, registered under the customers name",yes,co-applicant,good,good,16.708685444061313,YES
no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1169,unknown/ no savings account,1 to < 4 years,4,male,1,3,car,29,none,own,2,skilled employee/ official,single,"yes, registered under the customers name",yes,none,good,good,6.035932343153209,YES
< 0 DM,48,critical account/ other credits existing (not at this bank),car (used),6331,< 100 DM,>= 7 years,4,male,1,4,savings agreement/life insurance,46,none,for free,2,skilled employee/ official,single,"yes, registered under the customers name",yes,none,bad,bad,65.50596669839443,YES
no checking account,21,existing credits paid back duly till now,business,1572,>= 1000 DM,>= 7 years,4,female,1,4,none,36,bank,own,1,unskilled - resident,divorced/separated/married,none,yes,none,good,good,14.067078211564107,YES
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2424,unknown/ no savings account,>= 7 years,4,male,1,4,car,53,none,own,2,skilled employee/ official,single,none,yes,none,good,good,4.269765840619469,YES
>= 200 DM,12,critical account/ other credits existing (not at this bank),car (new),939,500 to < 1000 DM,4 to < 7 years,4,male,1,2,none,28,none,own,3,skilled employee/ official,married/widowed,"yes, registered under the customers name",yes,none,bad,bad,65.49349193122184,YES
< 0 DM,18,critical account/ other credits existing (not at this bank),car (new),5302,< 100 DM,>= 7 years,2,male,1,4,savings agreement/life insurance,36,none,for free,3,management/ self-employed/highly qualified employee,single,"yes, registered under the customers name",yes,none,good,good,27.663918956295657,YES
0 to < 200 DM,24,critical account/ other credits existing (not at this bank),education,5743,< 100 DM,< 1 year,2,female,1,4,savings agreement/life insurance,24,none,for free,2,skilled employee/ official,divorced/separated/married,"yes, registered under the customers name",yes,none,good,bad,47.87758270316932,NO
no checking account,11,critical account/ other credits existing (not at this bank),car (new),7228,< 100 DM,1 to < 4 years,1,male,1,4,car,39,none,own,2,unskilled - resident,single,none,yes,none,good,good,14.073247199533407,YES
0 to < 200 DM,12,existing credits paid back duly till now,car (new),685,< 100 DM,4 to < 7 years,2,male,1,3,real estate,25,bank,own,1,unskilled - resident,married/widowed,none,yes,none,bad,bad,65.49177960809904,YES
no checking account,21,critical account/ other credits existing (not at this bank),car (new),12680,unknown/ no savings account,>= 7 years,4,male,1,4,savings agreement/life insurance,30,none,for free,1,management/ self-employed/highly qualified employee,single,"yes, registered under the customers name",yes,none,bad,bad,65.50842257288093,YES
< 0 DM,21,existing credits paid back duly till now,radio/television,1835,< 100 DM,1 to < 4 years,3,female,1,2,none,25,none,own,2,skilled employee/ official,divorced/separated/married,"yes, registered under the customers name",yes,none,bad,bad,55.10426647242587,YES
no checking account,18,critical account/ other credits existing (not at this bank),furniture/equipment,3780,< 100 DM,< 1 year,3,male,1,2,real estate,35,none,own,2,management/ self-employed/highly qualified employee,divorced/separated,"yes, registered under the customers name",yes,none,good,good,17.3137474576435,YES
0 to < 200 DM,36,existing credits paid back duly till now,radio/television,4795,< 100 DM,< 1 year,4,female,1,1,savings agreement/life insurance,30,none,own,1,management/ self-employed/highly qualified employee,divorced/separated/married,"yes, registered under the customers name",yes,none,good,bad,48.43996664456661,NO
no checking account,36,existing credits paid back duly till now,business,7409,unknown/ no savings account,>= 7 years,3,male,1,2,car,37,none,own,2,skilled employee/ official,single,none,yes,none,good,good,16.856478582836008,YES
< 0 DM,12,existing credits paid back duly till now,car (used),3386,< 100 DM,>= 7 years,3,male,1,4,savings agreement/life insurance,35,none,for free,1,skilled employee/ official,single,"yes, registered under the customers name",yes,none,bad,bad,56.67633440991954,YES
no checking account,21,critical account/ other credits existing (not at this bank),car (used),3275,< 100 DM,>= 7 years,1,male,1,4,real estate,36,none,own,1,management/ self-employed/highly qualified employee,single,"yes, registered under the customers name",yes,none,good,good,3.9869600156856886,YES
< 0 DM,36,delay in paying off in the past,business,2145,< 100 DM,4 to < 7 years,2,male,1,1,real estate,24,none,own,2,skilled employee/ official,single,"yes, registered under the customers name",yes,none,bad,bad,65.50293971099592,YES
0 to < 200 DM,7,existing credits paid back duly till now,radio/television,2415,< 100 DM,1 to < 4 years,3,male,1,2,none,34,none,own,1,skilled employee/ official,single,none,yes,guarantor,good,good,11.145539011416817,YES
no checking account,9,critical account/ other credits existing (not at this bank),car (new),1224,< 100 DM,1 to < 4 years,3,male,1,1,none,30,none,own,2,skilled employee/ official,single,none,yes,none,good,good,10.672302757422864,YES
< 0 DM,24,existing credits paid back duly till now,radio/television,1987,< 100 DM,1 to < 4 years,2,male,2,4,none,21,none,rent,1,unskilled - resident,single,none,yes,none,bad,bad,65.50017139877146,YES
>= 200 DM,6,critical account/ other credits existing (not at this bank),car (new),1343,< 100 DM,>= 7 years,1,male,2,4,none,46,none,own,2,skilled employee/ official,single,none,no,none,good,good,8.023976553328712,YES
0 to < 200 DM,36,existing credits paid back duly till now,car (new),14318,< 100 DM,>= 7 years,4,male,1,2,savings agreement/life insurance,57,none,for free,1,management/ self-employed/highly qualified employee,single,"yes, registered under the customers name",yes,none,bad,bad,65.6741247550461,YES
< 0 DM,12,existing credits paid back duly till now,furniture/equipment,3590,< 100 DM,1 to < 4 years,2,male,2,2,car,29,none,own,1,unskilled - resident,single,none,yes,co-applicant,good,good,19.620495345626903,YES
no checking account,24,critical account/ other credits existing (not at this bank),furniture/equipment,2028,< 100 DM,4 to < 7 years,2,male,1,2,car,30,none,own,2,unskilled - resident,single,none,yes,none,good,good,9.9922201601137,YES
0 to < 200 DM,12,existing credits paid back duly till now,radio/television,6468,unknown/ no savings account,unemployed,2,male,1,1,savings agreement/life insurance,52,none,own,1,management/ self-employed/highly qualified employee,single,"yes, registered under the customers name",yes,none,bad,bad,65.49199815148445,YES
no checking account,30,critical account/ other credits existing (not at this bank),radio/television,5954,< 100 DM,4 to < 7 years,3,male,1,2,real estate,38,none,own,1,skilled employee/ official,single,none,yes,co-applicant,good,good,14.070700407066647,YES
0 to < 200 DM,15,critical account/ other credits existing (not at this bank),radio/television,2728,unknown/ no savings account,4 to < 7 years,4,male,1,2,none,35,bank,own,3,skilled employee/ official,single,"yes, registered under the customers name",yes,guarantor,good,good,14.066670093747488,YES
no checking account,48,critical account/ other credits existing (not at this bank),business,7629,unknown/ no savings account,>= 7 years,4,male,2,2,real estate,46,bank,own,2,management/ self-employed/highly qualified employee,divorced/separated,none,yes,none,good,good,28.789808666174387,YES
no checking account,18,existing credits paid back duly till now,radio/television,1126,unknown/ no savings account,< 1 year,4,female,1,2,none,21,none,rent,1,skilled employee/ official,divorced/separated/married,"yes, registered under the customers name",yes,none,good,good,16.987593752141603,YES
>= 200 DM,6,delay in paying off in the past,radio/television,683,< 100 DM,< 1 year,2,female,1,1,car,29,bank,own,1,skilled employee/ official,divorced/separated/married,none,yes,none,good,good,14.07398280999681,YES
>= 200 DM,24,existing credits paid back duly till now,furniture/equipment,1925,< 100 DM,1 to < 4 years,2,male,1,2,none,26,none,own,1,skilled employee/ official,single,none,yes,none,good,good,16.501305279214844,YES
0 to < 200 DM,18,existing credits paid back duly till now,car (used),12976,< 100 DM,unemployed,3,female,1,4,savings agreement/life insurance,38,none,for free,1,management/ self-employed/highly qualified employee,divorced/separated/married,"yes, registered under the customers name",yes,none,bad,bad,65.49365278432983,YES
< 0 DM,18,existing credits paid back duly till now,car (new),4380,100 to < 500 DM,1 to < 4 years,3,male,2,4,real estate,35,none,own,1,unskilled - resident,single,"yes, registered under the customers name",yes,none,good,bad,42.54508411509456,NO
< 0 DM,12,critical account/ other credits existing (not at this bank),radio/television,385,< 100 DM,4 to < 7 years,4,female,1,3,none,58,none,own,4,unskilled - resident,divorced/separated/married,"yes, registered under the customers name",yes,none,good,good,15.945354653558367,YES
0 to < 200 DM,12,existing credits paid back duly till now,car (used),2028,unknown/ no savings account,1 to < 4 years,4,male,1,2,real estate,30,none,own,1,skilled employee/ official,single,none,yes,none,good,good,13.94758159964005,YES
0 to < 200 DM,12,no credits taken/ all credits paid back duly,retraining,1410,< 100 DM,1 to < 4 years,2,male,1,2,none,31,none,own,1,unskilled - resident,single,"yes, registered under the customers name",yes,none,good,good,14.115729499097448,YES
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2611,< 100 DM,>= 7 years,4,male,1,3,none,46,none,own,2,skilled employee/ official,married/widowed,none,yes,co-applicant,good,good,7.4206840976813195,YES
>= 200 DM,36,existing credits paid back duly till now,radio/television,4210,< 100 DM,1 to < 4 years,4,male,1,2,real estate,26,none,own,1,skilled employee/ official,single,none,yes,none,bad,bad,52.43040278482807,YES
0 to < 200 DM,15,critical account/ other credits existing (not at this bank),radio/television,1537,unknown/ no savings account,>= 7 years,4,male,1,4,none,50,none,own,2,skilled employee/ official,single,"yes, registered under the customers name",yes,guarantor,good,good,5.371251896457075,YES
0 to < 200 DM,36,critical account/ other credits existing (not at this bank),car (used),5800,< 100 DM,1 to < 4 years,3,male,1,4,real estate,34,none,own,2,skilled employee/ official,single,"yes, registered under the customers name",yes,none,good,good,26.100228173741876,YES
no checking account,18,critical account/ other credits existing (not at this bank),radio/television,6070,< 100 DM,>= 7 years,3,male,1,4,real estate,33,none,own,2,skilled employee/ official,single,"yes, registered under the customers name",yes,none,good,good,10.29524612367363,YES
no checking account,18,critical account/ other credits existing (not at this bank),car (new),1055,< 100 DM,< 1 year,4,female,1,1,car,30,none,own,2,skilled employee/ official,divorced/separated/married,none,yes,none,good,good,14.178263077952282,YES
no checking account,12,existing credits paid back duly till now,education,1393,< 100 DM,>= 7 years,4,male,2,4,car,47,bank,own,3,skilled employee/ official,single,"yes, registered under the customers name",yes,none,good,good,27.579550598785087,YES
no checking account,9,critical account/ other credits existing (not at this bank),education,936,500 to < 1000 DM,>= 7 years,4,male,1,2,real estate,52,none,own,2,skilled employee/ official,single,"yes, registered under the customers name",yes,none,good,good,14.067827743945442,YES
0 to < 200 DM,13,existing credits paid back duly till now,radio/television,2101,< 100 DM,< 1 year,2,female,1,4,car,23,none,own,1,unskilled - resident,divorced/separated/married,none,yes,guarantor,good,good,29.94070416735494,YES
>= 200 DM,6,existing credits paid back duly till now,car (new),709,>= 1000 DM,< 1 year,2,male,1,2,none,27,none,own,1,unemployed/ unskilled - non-resident,married/widowed,none,no,none,good,good,8.044055123162593,YES
< 0 DM,12,existing credits paid back duly till now,furniture/equipment,7865,< 100 DM,>= 7 years,4,male,1,4,savings agreement/life insurance,53,none,for free,1,management/ self-employed/highly qualified employee,single,"yes, registered under the customers name",yes,none,bad,bad,65.49290507743201,YES
0 to < 200 DM,36,delay in paying off in the past,car (new),2862,100 to < 500 DM,>= 7 years,4,male,1,3,savings agreement/life insurance,30,none,for free,1,skilled employee/ official,single,none,yes,none,good,bad,54.08915782222689,NO
0 to < 200 DM,12,existing credits paid back duly till now,radio/television,1103,< 100 DM,4 to < 7 years,4,male,1,3,none,29,none,own,2,skilled employee/ official,single,none,no,guarantor,good,good,12.54219829665989,YES
< 0 DM,24,existing credits paid back duly till now,furniture/equipment,3234,< 100 DM,< 1 year,4,female,1,4,none,23,none,rent,1,unskilled - resident,divorced/separated/married,"yes, registered under the customers name",yes,none,bad,bad,83.40530701337059,YES
0 to < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,1295,< 100 DM,< 1 year,4,female,1,1,car,27,none,own,2,skilled employee/ official,divorced/separated/married,none,yes,none,good,good,17.0222517346655,YES
>= 200 DM,10,existing credits paid back duly till now,car (new),3949,< 100 DM,< 1 year,1,male,2,1,car,37,none,own,1,unskilled - resident,single,none,yes,guarantor,good,good,12.795554379233561,YES
0 to < 200 DM,48,delay in paying off in the past,business,6681,unknown/ no savings account,1 to < 4 years,4,male,2,4,savings agreement/life insurance,38,none,for free,1,skilled employee/ official,single,"yes, registered under the customers name",yes,none,good,bad,38.59347505708013,NO
no checking account,15,critical account/ other credits existing (not at this bank),furniture/equipment,3343,< 100 DM,1 to < 4 years,4,male,1,2,savings agreement/life insurance,28,none,for free,1,skilled employee/ official,single,"yes, registered under the customers name",yes,none,good,good,11.901725436234175,YES
no checking account,4,critical account/ other credits existing (not at this bank),radio/television,1544,< 100 DM,4 to < 7 years,2,male,2,1,none,42,none,own,3,unskilled - resident,single,none,yes,none,good,good,6.303834518571599,YES
no checking account,24,existing credits paid back duly till now,car (new),2255,unknown/ no savings account,< 1 year,4,male,1,1,car,54,none,own,1,skilled employee/ official,single,none,yes,none,good,good,14.073993456411282,YES
< 0 DM,24,existing credits paid back duly till now,car (used),2964,unknown/ no savings account,>= 7 years,4,male,2,4,savings agreement/life insurance,49,bank,for free,1,skilled employee/ official,single,"yes, registered under the customers name",yes,none,good,good,25.24152985903375,YES
no checking account,24,existing credits paid back duly till now,car (new),1474,100 to < 500 DM,< 1 year,4,male,1,3,none,33,none,own,1,skilled employee/ official,married/widowed,"yes, registered under the customers name",yes,none,good,good,14.06792726080608,YES
< 0 DM,36,existing credits paid back duly till now,furniture/equipment,2712,< 100 DM,>= 7 years,2,male,2,2,car,41,bank,own,1,skilled employee/ official,single,none,yes,none,bad,bad,51.35085986157153,YES
0 to < 200 DM,24,existing credits paid back duly till now,car (used),11560,< 100 DM,1 to < 4 years,1,female,1,4,real estate,23,none,rent,2,management/ self-employed/highly qualified employee,divorced/separated/married,none,yes,none,bad,bad,65.4879333202898,YES
no checking account,24,existing credits paid back duly till now,car (used),3488,100 to < 500 DM,4 to < 7 years,3,female,1,4,real estate,23,none,own,1,skilled employee/ official,divorced/separated/married,none,yes,none,good,good,11.84982634892249,YES
< 0 DM,18,existing credits paid back duly till now,furniture/equipment,2659,>= 1000 DM,1 to < 4 years,4,male,1,2,real estate,28,none,own,1,skilled employee/ official,single,none,yes,none,good,good,23.779022709702126,YES
no checking account,6,existing credits paid back duly till now,education,1538,< 100 DM,< 1 year,1,female,1,2,savings agreement/life insurance,56,none,own,1,skilled employee/ official,divorced/separated/married,none,yes,none,good,good,14.069118414848166,YES
no checking account,24,critical account/ other credits existing (not at this bank),repairs,5507,< 100 DM,>= 7 years,3,male,1,4,savings agreement/life insurance,44,none,for free,2,skilled employee/ official,single,none,yes,none,good,good,14.066074163395099,YES
< 0 DM,36,existing credits paid back duly till now,car (new),1842,< 100 DM,< 1 year,4,female,1,4,real estate,34,none,own,1,skilled employee/ official,divorced/separated/married,"yes, registered under the customers name",yes,none,bad,bad,77.28914305450716,YES
< 0 DM,24,all credits at this bank paid back duly,others,1358,unknown/ no savings account,>= 7 years,4,male,1,3,real estate,40,stores,own,1,management/ self-employed/highly qualified employee,single,"yes, registered under the customers name",yes,none,bad,bad,65.50610702650307,YES
no checking account,22,existing credits paid back duly till now,car (new),1283,unknown/ no savings account,4 to < 7 years,4,female,1,4,car,25,none,rent,1,skilled employee/ official,divorced/separated/married,none,yes,none,good,bad,36.57261275642709,NO
no checking account,9,existing credits paid back duly till now,radio/television,1478,< 100 DM,4 to < 7 years,4,male,1,2,real estate,22,none,own,1,skilled employee/ official,single,none,yes,none,bad,good,22.504253509173097,NO
no checking account,24,critical account/ other credits existing (not at this bank),furniture/equipment,3777,>= 1000 DM,1 to < 4 years,4,male,1,4,none,50,none,own,1,skilled employee/ official,single,"yes, registered under the customers name",yes,none,good,good,2.3868963333511526,YES
< 0 DM,12,critical account/ other credits existing (not at this bank),car (used),1409,< 100 DM,>= 7 years,4,male,1,3,none,54,none,own,1,skilled employee/ official,single,none,yes,none,good,good,12.61140155705669,YES
no checking account,15,critical account/ other credits existing (not at this bank),furniture/equipment,1520,unknown/ no savings account,>= 7 years,4,male,1,4,car,63,none,own,1,skilled employee/ official,single,none,yes,none,good,good,4.603738310795073,YES
0 to < 200 DM,9,existing credits paid back duly till now,radio/television,790,500 to < 1000 DM,1 to < 4 years,4,female,1,3,none,66,none,own,1,unskilled - resident,divorced/separated/married,none,yes,none,good,good,12.270081092609972,YES
< 0 DM,20,existing credits paid back duly till now,furniture/equipment,2212,unknown/ no savings account,4 to < 7 years,4,male,1,4,real estate,39,none,own,1,skilled employee/ official,single,"yes, registered under the customers name",yes,none,good,good,15.99747604701147,YES
no checking account,6,critical account/ other credits existing (not at this bank),car (new),6761,< 100 DM,4 to < 7 years,1,male,2,3,savings agreement/life insurance,45,none,own,2,management/ self-employed/highly qualified employee,single,"yes, registered under the customers name",yes,none,good,good,14.074794011965153,YES
no checking account,24,existing credits paid back duly till now,radio/television,1376,500 to < 1000 DM,4 to < 7 years,4,female,1,1,real estate,28,none,own,1,skilled employee/ official,divorced/separated/married,none,yes,none,good,good,15.772424558635015,YES
0 to < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,7374,< 100 DM,unemployed,4,male,1,4,car,40,stores,own,2,management/ self-employed/highly qualified employee,single,"yes, registered under the customers name",yes,none,good,good,15.371967227327243,YES
0 to < 200 DM,18,existing credits paid back duly till now,repairs,3872,< 100 DM,unemployed,2,female,1,4,real estate,67,none,own,1,skilled employee/ official,divorced/separated/married,"yes, registered under the customers name",yes,none,good,good,14.071226379557508,YES
no checking account,24,existing credits paid back duly till now,business,1258,< 100 DM,4 to < 7 years,4,male,1,1,none,25,none,own,1,skilled employee/ official,single,"yes, registered under the customers name",yes,none,good,good,11.342740255053224,YES
no checking account,15,existing credits paid back duly till now,car (used),4657,< 100 DM,1 to < 4 years,3,male,1,2,real estate,30,none,own,1,skilled employee/ official,single,"yes, registered under the customers name",yes,none,good,good,9.835567370346897,YES
no checking account,24,critical account/ other credits existing (not at this bank),car (used),5804,>= 1000 DM,1 to < 4 years,4,male,1,2,none,27,none,own,2,skilled employee/ official,single,none,yes,none,good,good,5.465143939190778,YES
no checking account,24,critical account/ other credits existing (not at this bank),business,4526,< 100 DM,1 to < 4 years,3,male,1,2,none,74,none,own,1,management/ self-employed/highly qualified employee,single,"yes, registered under the customers name",yes,none,good,good,14.07189659263194,YES
0 to < 200 DM,9,critical account/ other credits existing (not at this bank),education,1136,>= 1000 DM,>= 7 years,4,male,2,3,savings agreement/life insurance,32,none,for free,2,skilled employee/ official,single,none,yes,none,bad,bad,65.5000237565342,YES
0 to < 200 DM,48,existing credits paid back duly till now,radio/television,3979,unknown/ no savings account,4 to < 7 years,4,male,2,1,real estate,41,none,own,2,skilled employee/ official,single,"yes, registered under the customers name",yes,none,good,good,14.076747925872727,YES
0 to < 200 DM,48,all credits at this bank paid back duly,business,6416,< 100 DM,>= 7 years,4,female,1,3,savings agreement/life insurance,59,none,rent,1,skilled employee/ official,divorced/separated/married,none,yes,none,bad,bad,65.50871526697362,YES
>= 200 DM,15,existing credits paid back duly till now,radio/television,2327,< 100 DM,< 1 year,2,female,1,3,none,25,none,own,1,unskilled - resident,divorced/separated/married,none,yes,none,bad,bad,53.11112055340783,YES
0 to < 200 DM,45,existing credits paid back duly till now,radio/television,3031,100 to < 500 DM,1 to < 4 years,4,male,1,4,car,21,none,rent,1,skilled employee/ official,single,none,yes,guarantor,bad,bad,65.50751735593532,YES
< 0 DM,12,existing credits paid back duly till now,car (new),1372,< 100 DM,4 to < 7 years,2,male,1,3,real estate,36,none,own,1,skilled employee/ official,divorced/separated,none,yes,none,bad,bad,65.48940065579143,YES
< 0 DM,12,existing credits paid back duly till now,education,795,< 100 DM,< 1 year,4,female,1,4,car,53,none,own,1,skilled employee/ official,divorced/separated/married,none,yes,none,bad,bad,65.48938107544049,YES
no checking account,12,critical account/ other credits existing (not at this bank),education,3565,unknown/ no savings account,< 1 year,2,male,2,1,car,37,none,own,2,unskilled - resident,single,none,yes,none,good,good,14.067444235494051,YES
0 to < 200 DM,6,all credits at this bank paid back duly,car (new),931,100 to < 500 DM,< 1 year,1,female,1,1,car,32,stores,own,1,unskilled - resident,divorced/separated/married,none,yes,none,bad,bad,45.58480153349488,YES
0 to < 200 DM,30,critical account/ other credits existing (not at this bank),furniture/equipment,8386,< 100 DM,4 to < 7 years,2,male,1,2,car,49,none,own,1,skilled employee/ official,single,none,yes,none,bad,bad,61.584878791374194,YES
< 0 DM,18,existing credits paid back duly till now,furniture/equipment,2462,< 100 DM,1 to < 4 years,2,male,1,2,real estate,22,none,own,1,skilled employee/ official,single,none,yes,none,bad,bad,52.464707043446325,YES
< 0 DM,36,existing credits paid back duly till now,car (used),5493,< 100 DM,>= 7 years,2,male,2,4,savings agreement/life insurance,42,none,for free,1,skilled employee/ official,single,none,yes,none,good,bad,40.34826050642443,NO
0 to < 200 DM,12,critical account/ other credits existing (not at this bank),car (used),1804,100 to < 500 DM,< 1 year,3,male,1,4,car,44,none,own,1,skilled employee/ official,single,none,yes,none,good,good,13.63712071661157,YES
< 0 DM,24,existing credits paid back duly till now,car (used),2910,< 100 DM,4 to < 7 years,2,male,1,1,savings agreement/life insurance,34,none,for free,1,management/ self-employed/highly qualified employee,single,"yes, registered under the customers name",yes,none,good,good,14.07391232676801,YES
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,717,< 100 DM,>= 7 years,4,male,1,4,none,52,none,own,3,skilled employee/ official,single,none,yes,none,good,good,5.499505131022621,YES
no checking account,24,existing credits paid back duly till now,business,4591,>= 1000 DM,1 to < 4 years,2,male,1,3,car,54,none,own,3,management/ self-employed/highly qualified employee,single,"yes, registered under the customers name",yes,none,bad,bad,65.49874299723068,YES
>= 200 DM,6,existing credits paid back duly till now,furniture/equipment,2116,< 100 DM,1 to < 4 years,2,male,1,2,none,41,none,own,1,skilled employee/ official,single,"yes, registered under the customers name",yes,none,good,good,8.881587562100028,YES
no checking account,10,critical account/ other credits existing (not at this bank),furniture/equipment,2146,< 100 DM,< 1 year,1,female,1,3,none,23,none,rent,2,skilled employee/ official,divorced/separated/married,none,yes,none,good,good,17.9296451303735,YES
0 to < 200 DM,24,existing credits paid back duly till now,car (new),1355,< 100 DM,< 1 year,3,female,1,4,real estate,25,none,own,1,unskilled - resident,divorced/separated/married,"yes, registered under the customers name",yes,none,bad,bad,69.42935474010542,YES
0 to < 200 DM,9,critical account/ other credits existing (not at this bank),education,1501,< 100 DM,>= 7 years,2,female,1,3,real estate,34,none,own,2,management/ self-employed/highly qualified employee,divorced/separated/married,"yes, registered under the customers name",yes,none,bad,bad,59.63723036807953,YES
0 to < 200 DM,21,existing credits paid back duly till now,furniture/equipment,3976,unknown/ no savings account,4 to < 7 years,2,male,1,3,real estate,35,none,own,1,skilled employee/ official,single,"yes, registered under the customers name",yes,none,good,good,8.332444049668771,YES
no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,5801,unknown/ no savings account,>= 7 years,2,male,1,4,car,49,none,rent,1,skilled employee/ official,single,"yes, registered under the customers name",yes,none,good,good,14.07695446183294,YES
